nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link,harga_kategori,harga_m2_kategori
Rumah Pilihan Milenial  Dekat Cilandak Square Jakarta Selatan,2,3,73,1397000000,22532258,"pangkalan jati, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-pilihan-milenial-dekat-cilandak-square-jakarta-selatan-oleh-rahmi-18778997,"0 - 1,5 M",15 - 25 Juta
Cluster Milenial Di Cinere,2,2,73,1397000000,22532258,"Cinere, Cinere, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cluster-milenial-di-cinere-oleh-rahmi-18654841,"0 - 1,5 M",15 - 25 Juta
Hunian Mewah Dengan Pondasi Bata Merah,2,2,73,1397000000,22532258,"Cinere Golf Pangkalan Jati, Cinere, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hunian-mewah-dengan-pondasi-bata-merah-oleh-rahmi-18679885,"0 - 1,5 M",15 - 25 Juta
Rumah Keren Dengan Lokasi Keren,2,3,73,1397000000,22532258,"Antasari, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-keren-dengan-lokasi-keren-oleh-rahmi-18716218,"0 - 1,5 M",15 - 25 Juta
Jatiloka Residence,2,3,73,1397000000,22532258,"Jl.pangkalan jati 2.no.35, Ampera, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jatiloka-residence-oleh-budiman-18606885,"0 - 1,5 M",15 - 25 Juta
Jatiloka Residence,2,3,73,1397000000,22532258,"Jl.pangkalan jati 2.no.35, Fatmawati, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jatiloka-residence-oleh-budiman-18734200,"0 - 1,5 M",15 - 25 Juta
"3 Bedrooms Rumah Pondok Labu, Jakarta Selatan, DKI Jakarta",2,3,73,1397000000,22532258,"Pondok Labu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-3-bedrooms-rumah-pondok-labu-jakarta-selatan-dki-jakarta-oleh-budiman-18320449,"0 - 1,5 M",15 - 25 Juta
Jatiloka Residence,2,3,73,1397000000,22532258,"Jl.pangkalan jati 2.no.35, Antasari, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jatiloka-residence-oleh-budiman-18734086,"0 - 1,5 M",15 - 25 Juta
Jatiloka Residence,2,3,73,1397000000,22532258,"Jl.pangkalan jati 2.no.35, Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jatiloka-residence-oleh-budiman-18736457,"0 - 1,5 M",15 - 25 Juta
Jatiloka Residence,2,3,73,1397000000,22532258,"Jl.pangkalan jati 2.no.35, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jatiloka-residence-oleh-budiman-18608185,"0 - 1,5 M",15 - 25 Juta
Hunian Asri 2 Lantai Nyaman Dekat Tol Andara Di Pondok Labu Jaksel,2,3,73,1397000000,22532258,"Jl.pangkalan jati 2.no.35, Cirendeu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hunian-asri-2-lantai-nyaman-dekat-tol-andara-di-pondok-labu-jaksel-oleh-budiman-18296243,"0 - 1,5 M",15 - 25 Juta
Rumah Milenial Dengan Harga Irit,2,3,73,1397000000,22532258,"golf pangkalan jati, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-milenial-dengan-harga-irit-oleh-rahmi-18742065,"0 - 1,5 M",15 - 25 Juta
Rumah Pilihan Milenial Lokasi Strategis Dekat Golf Pangkalan Jati,2,3,73,1397000000,22532258,"jakarta selatan, Cinere, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-pilihan-milenial-lokasi-strategis-dekat-golf-pangkalan-jati-oleh-rahmi-18764123,"0 - 1,5 M",15 - 25 Juta
